id,Year,Cantril ladder score
117,2019,6.1237
117,2018,6.0697
117,2017,5.9452
117,2016,5.825
117,2015,5.528
117,2014,5.124
117,2011,5.178499
119,2022,5.6607
119,2021,5.4586
119,2020,5.4772
119,2019,5.546
119,2018,5.6479
119,2017,5.8097
119,2016,5.963
119,2015,5.856
119,2014,5.716
119,2011,5.284313
120,2021,3.2682
120,2020,3.4147
120,2019,3.3123
120,2018,3.3338
120,2017,3.4081
120,2016,3.471
120,2015,3.515
120,2014,3.465
120,2011,4.203909
121,2022,6.4626
121,2021,6.5228
121,2020,6.494
121,2019,6.4065
121,2018,6.3747
121,2017,6.3709
121,2016,6.344
121,2015,6.379
121,2014,6.411
121,2011,6.597326
128,2022,4.8551
128,2021,5.0461
128,2020,5.1318
128,2019,4.9808
128,2018,4.6811
128,2017,4.6311
128,2016,4.535
128,2015,4.219
128,2014,3.904
128,2011,4.414183
118,2022,6.1436
118,2021,6.178
118,2020,6.0779
118,2019,5.7782
118,2018,5.603
118,2017,5.3982
118,2016,5.395
118,2015,5.177
118,2014,5.123
118,2011,4.564279
127,2022,3.1376
127,2021,3.574
127,2020,3.8494
127,2019,3.9264
127,2018,4.3742
127,2017,4.5706
127,2016,4.709
127,2015,4.635
127,2014,4.507
127,2011,3.585802
124,2022,6.5867
124,2021,6.4802
124,2020,6.3765
124,2019,6.3771
124,2018,6.262
124,2017,6.3432
124,2016,6.572
124,2015,6.739
124,2014,6.798
124,2011,6.549302
126,2022,6.4686
126,2021,6.3907
126,2020,6.3309
126,2019,6.2806
126,2018,6.1976
126,2017,6.1734
126,2016,6.098
126,2015,6.078
126,2014,5.995
126,2011,5.656836
125,2022,6.6499
125,2021,6.6301
125,2020,6.4607
125,2019,6.3634
125,2018,6.1177
125,2017,5.9476
125,2016,5.758
125,2015,5.768
125,2014,5.848
125,2011,5.922324
129,2018,4.6679
129,2017,4.9815
129,2016,5.151
129,2015,5.44
152,2022,5.2746
152,2021,5.1939
152,2020,4.9564
152,2019,4.8141
152,2018,4.7222
152,2017,4.724
152,2016,4.829
152,2015,4.459
152,2014,4.642
152,2011,5.10052
72,2022,5.9511
72,2021,5.9351
72,2020,5.8455
72,2019,5.8724
72,2018,5.8947
72,2017,5.8749
72,2016,5.838
72,2015,5.835
72,2014,5.984
72,2011,5.643442
131,2019,2.8166
131,2018,2.8526
131,2017,3.2542
131,2016,3.591
131,2015,3.832
42,2022,6.4362
42,2021,6.4763
42,2020,6.4907
42,2019,6.4009
42,2018,6.3541
42,2017,6.3099
42,2016,6.403
42,2015,6.361
42,2014,6.329
42,2011,6.761248
77,2022,4.4416
77,2021,4.3622
77,2020,4.325
77,2019,4.327
77,2018,4.3659
77,2017,4.4706
77,2016,4.44
77,2015,4.415
77,2014,4.271
77,2011,4.25961
122,2017,4.1387
122,2016,4.139
122,2015,4.139
122,2014,4.55
122,2011,4.424363
130,2015,6.269
130,2014,6.269
123,2022,7.3952
123,2021,7.3843
123,2020,7.3627
123,2019,7.3535
123,2018,7.3433
123,2017,7.3145
123,2016,7.284
123,2015,7.291
123,2014,7.364
123,2011,7.379463
26,2022,7.2401
26,2021,7.5116
26,2020,7.5715
26,2019,7.5599
26,2018,7.4802
26,2017,7.4873
26,2016,7.494
26,2015,7.509
26,2014,7.587
26,2011,7.498953
